CODIGO_ENTIDAD,NOMBRE,ESTADO1_LICENCIAMIENTO,ESTADO_LICENCIAMIENTO
147,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,LICENCIA DENEGADA,0
148,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,LICENCIA DENEGADA,0
3,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,LICENCIA OTORGADA,1
9,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,LICENCIA OTORGADA,1
10,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,LICENCIA OTORGADA,1
13,UNIVERSIDAD NACIONAL DE PIURA,LICENCIA OTORGADA,1
21,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,LICENCIA OTORGADA,1
22,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA,LICENCIA OTORGADA,1
23,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,LICENCIA OTORGADA,1
24,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,LICENCIA DENEGADA,0
25,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,LICENCIA OTORGADA,1
26,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN,LICENCIA OTORGADA,1
27,UNIVERSIDAD NACIONAL DEL CALLAO,LICENCIA OTORGADA,1
28,UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,LICENCIA OTORGADA,1
31,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,LICENCIA DENEGADA,0
34,UNIVERSIDAD NACIONAL DE SAN MARTÍN,LICENCIA OTORGADA,1
36,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,LICENCIA DENEGADA,0
37,UNIVERSIDAD PERUANA LOS ANDES,LICENCIA OTORGADA,1
40,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,LICENCIA OTORGADA,1
41,UNIVERSIDAD NACIONAL DE TUMBES,LICENCIA OTORGADA,1
42,UNIVERSIDAD NACIONAL DEL SANTA,LICENCIA OTORGADA,1
44,UNIVERSIDAD PARTICULAR DE CHICLAYO,LICENCIA DENEGADA,0
47,UNIVERSIDAD DE HUÁNUCO,LICENCIA OTORGADA,1
51,UNIVERSIDAD NACIONAL DE HUANCAVELICA,LICENCIA OTORGADA,1
52,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,LICENCIA OTORGADA,1
59,UNIVERSIDAD ALAS PERUANAS S.A.,LICENCIA DENEGADA,0
61,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,LICENCIA OTORGADA,1
65,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,LICENCIA OTORGADA,1
70,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.,LICENCIA DENEGADA,0
72,UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.,LICENCIA OTORGADA,1
75,UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,LICENCIA OTORGADA,1
77,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC,LICENCIA OTORGADA,1
78,UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.,LICENCIA DENEGADA,0
81,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.,LICENCIA DENEGADA,0
83,UNIVERSIDAD PRIVADA TELESUP S.A.C.,LICENCIA DENEGADA,0
45,UNIVERSIDAD SAN PEDRO,LICENCIA DENEGADA,0
48,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,LICENCIA DENEGADA,0
50,UNIVERSIDAD CIENTÍFICA DEL PERÚ,LICENCIA DENEGADA,0
53,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,LICENCIA DENEGADA,0
64,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.,LICENCIA OTORGADA,1
74,UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,LICENCIA OTORGADA,1
85,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,LICENCIA DENEGADA,0
86,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,LICENCIA DENEGADA,0
90,UNIVERSIDAD PRIVADA DE TRUJILLO,LICENCIA DENEGADA,0
91,UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.,LICENCIA DENEGADA,0
92,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,LICENCIA DENEGADA,0
94,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,LICENCIA DENEGADA,0
99,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.,LICENCIA DENEGADA,0
102,UNIVERSIDAD PERUANA DEL CENTRO,LICENCIA DENEGADA,0
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.,LICENCIA DENEGADA,0
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.,LICENCIA OTORGADA,1
106,UNIVERSIDAD NACIONAL DE FRONTERA,LICENCIA OTORGADA,1
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,LICENCIA DENEGADA,0
